,CDU 14-MA,SPD 14-MA,GRU 14-MA,FDP 14-MA,AfD 14-MA,BSW 14-MA,LIN 14-MA,CDU Allens,SPD Allens,GRU Allens,FDP Allens,AfD Allens,BSW Allens,LIN Allens,CDU Fgwahl,SPD Fgwahl,GRU Fgwahl,FDP Fgwahl,AfD Fgwahl,BSW Fgwahl,LIN Fgwahl,CDU Forsa,SPD Forsa,GRU Forsa,FDP Forsa,AfD Forsa,BSW Forsa,LIN Forsa,CDU Gms,SPD Gms,GRU Gms,FDP Gms,AfD Gms,BSW Gms,LIN Gms,CDU Infra,SPD Infra,GRU Infra,FDP Infra,AfD Infra,BSW Infra,LIN Infra,CDU Insa,SPD Insa,GRU Insa,FDP Insa,AfD Insa,BSW Insa,LIN Insa,CDU Ipsos,SPD Ipsos,GRU Ipsos,FDP Ipsos,AfD Ipsos,BSW Ipsos,LIN Ipsos,CDU Verian,SPD Verian,GRU Verian,FDP Verian,AfD Verian,BSW Verian,LIN Verian,CDU Yougov,SPD Yougov,GRU Yougov,FDP Yougov,AfD Yougov,BSW Yougov,LIN Yougov
1 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,16.0,13.0,4.5,18.5,7.5,3.5,,,,,,,,,,,,,,,,,,,,,
3 Dec 2024,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,12.0,3.0,18.0,4.0,4.0,34.0,15.0,13.0,4.0,17.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,14.0,4.0,18.0,5.0,3.0,,,,,,,,32.0,16.0,13.0,3.0,18.0,7.0,3.0,,,,,,,,30.0,18.0,13.0,4.0,19.0,7.0,3.0
6 Dec 2024,,,,,,,,,,,,,,,33.0,15.0,14.0,4.0,17.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,12.0,4.0,19.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,
8 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,17.0,11.5,4.5,19.5,8.0,3.0,,,,,,,,,,,,,,,,,,,,,
10 Dec 2024,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,13.0,4.0,18.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Dec 2024,31.8,16.3,12.7,4.0,18.4,6.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,11.0,5.0,20.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,
15 Dec 2024,31.8,16.3,12.7,4.0,18.4,6.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Dec 2024,31.8,16.3,12.5,4.0,18.5,6.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,16.5,11.5,5.0,19.5,8.0,2.5,,,,,,,,,,,,,,,,,,,,,
17 Dec 2024,31.4,16.6,12.6,4.2,18.7,6.4,3.1,,,,,,,,,,,,,,,30.0,17.0,13.0,4.0,19.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Dec 2024,31.4,16.6,12.6,4.2,18.7,6.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Dec 2024,31.6,16.2,12.5,4.2,18.9,6.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,14.0,14.0,3.0,19.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Dec 2024,31.8,16.3,12.6,4.1,18.9,6.1,3.2,36.0,16.0,12.0,4.0,18.0,6.0,,31.0,15.0,14.0,3.0,19.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,14.0,4.0,18.0,5.0,3.0,,,,,,,
21 Dec 2024,31.8,16.3,12.6,4.2,19.0,6.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,12.0,5.0,20.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,
22 Dec 2024,31.8,16.3,12.6,4.2,19.0,6.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Dec 2024,31.7,16.1,12.7,4.1,19.0,5.9,3.2,,,,,,,,,,,,,,,31.0,16.0,13.0,3.0,19.0,4.0,4.0,,,,,,,,,,,,,,,31.0,16.0,12.5,5.0,19.5,8.0,3.0,,,,,,,,,,,,,,,,,,,,,
24 Dec 2024,31.8,16.1,12.7,4.1,19.1,6.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Dec 2024,31.8,16.1,12.7,4.1,19.1,6.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Dec 2024,31.8,16.1,12.7,4.1,19.1,6.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Dec 2024,31.8,16.1,12.7,4.1,19.1,6.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Dec 2024,31.8,16.1,12.8,4.0,19.1,6.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,12.0,4.0,20.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,
29 Dec 2024,31.8,16.1,12.8,4.0,19.1,6.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Dec 2024,31.7,16.1,12.9,3.9,19.2,5.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,16.5,12.0,3.5,20.5,7.0,4.0,,,,,,,,,,,,,,,,,,,,,
31 Dec 2024,31.9,15.9,12.8,3.8,19.2,6.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jan 2025,31.9,15.9,12.8,3.8,19.2,6.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jan 2025,31.8,16.2,12.7,3.9,19.3,6.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jan 2025,31.5,16.3,12.4,4.1,19.5,6.3,3.3,,,,,,,,,,,,,,,,,,,,,,33.0,16.0,13.0,4.0,18.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jan 2025,31.3,16.3,12.6,3.9,19.5,6.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,16.0,13.0,4.0,20.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,
5 Jan 2025,31.3,16.3,12.6,3.9,19.5,6.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Jan 2025,31.4,16.2,12.7,3.9,20.0,6.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,15.5,13.5,4.0,21.5,6.5,3.0,,,,,,,,,,,,,,,,,,,,,
7 Jan 2025,31.5,16.3,12.6,3.8,19.8,5.9,3.2,,,,,,,,,,,,,,,32.0,17.0,12.0,3.0,19.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Jan 2025,31.1,16.3,12.8,3.9,20.0,5.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,16.0,14.0,5.0,21.0,6.0,3.0
9 Jan 2025,31.0,16.1,12.9,3.9,19.9,5.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,15.0,14.0,4.0,20.0,5.0,4.0,,,,,,,,30.0,16.0,13.0,4.0,19.0,7.0,3.0,,,,,,,,,,,,,,
10 Jan 2025,30.9,15.9,13.2,4.0,20.0,5.8,3.3,,,,,,,,30.0,14.0,15.0,4.0,21.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Jan 2025,30.8,15.8,13.3,4.0,20.2,5.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,16.0,13.0,4.0,22.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,
12 Jan 2025,30.8,15.8,13.3,4.0,20.2,5.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Jan 2025,30.8,15.7,13.4,4.0,20.4,5.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,15.0,13.0,4.0,22.0,6.5,3.5,,,,,,,,,,,,,,,,,,,,,
14 Jan 2025,30.8,15.7,13.3,4.0,20.3,5.5,3.2,,,,,,,,,,,,,,,31.0,16.0,13.0,4.0,20.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Jan 2025,30.8,15.9,13.4,4.0,20.4,5.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,18.0,14.0,4.0,21.0,6.0,4.0
16 Jan 2025,30.8,15.9,13.4,4.0,20.4,5.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Jan 2025,30.5,15.9,13.4,4.0,20.6,5.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Jan 2025,30.4,15.9,13.4,4.1,20.7,5.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,16.0,13.0,5.0,21.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,
19 Jan 2025,30.4,15.9,13.4,4.1,20.7,5.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Jan 2025,30.2,15.9,13.4,4.2,20.7,5.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,16.0,13.0,5.0,21.5,7.0,4.0,,,,,,,,,,,,,,,,,,,,,
21 Jan 2025,30.1,15.8,13.5,4.3,20.7,5.7,3.5,,,,,,,,,,,,,,,31.0,16.0,13.0,4.0,19.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Jan 2025,30.0,16.1,13.5,4.2,20.5,5.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,19.0,15.0,4.0,19.0,6.0,4.0
23 Jan 2025,30.3,16.3,13.6,4.2,20.7,5.6,3.6,34.0,17.0,13.5,4.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Jan 2025,30.3,16.4,13.5,4.2,20.7,5.5,3.7,,,,,,,,30.0,15.0,14.0,4.0,21.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Jan 2025,30.3,16.4,13.4,4.2,20.6,5.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,16.0,12.0,4.0,21.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,
26 Jan 2025,30.3,16.4,13.4,4.2,20.6,5.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Jan 2025,30.2,16.5,13.3,4.3,20.6,5.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,15.5,12.5,4.5,22.0,6.0,4.5,,,,,,,,,,,,,,,,,,,,,
28 Jan 2025,30.1,16.4,13.5,4.2,20.4,5.5,4.0,,,,,,,,,,,,,,,30.0,16.0,14.0,4.0,20.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,30.0,16.0,14.0,4.0,19.0,6.0,3.0,,,,,,,,,,,,,,
29 Jan 2025,30.0,16.1,13.4,4.1,20.6,5.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,15.0,13.0,3.0,23.0,6.0,5.0
30 Jan 2025,29.9,16.0,13.5,4.1,20.7,5.3,4.2,,,,,,,,29.0,15.0,14.0,4.0,21.0,4.0,5.0,,,,,,,,,,,,,,,30.0,15.0,15.0,4.0,20.0,4.0,5.0,29.0,17.0,13.0,4.0,22.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,
31 Jan 2025,29.9,16.0,13.5,4.1,20.6,5.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,15.0,14.0,4.0,20.0,5.0,4.0,,,,,,,
1 Feb 2025,29.9,16.0,13.5,4.0,20.7,5.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,17.0,12.0,4.0,22.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,
2 Feb 2025,29.9,16.0,13.5,4.0,20.7,5.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Feb 2025,30.0,16.0,13.5,4.0,20.7,5.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,16.0,13.0,4.5,22.0,5.5,5.0,,,,,,,,,,,,,,,,,,,,,
4 Feb 2025,29.8,16.0,13.6,4.0,20.8,5.1,4.4,,,,,,,,,,,,,,,28.0,16.0,15.0,4.0,20.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Feb 2025,29.9,16.0,13.4,4.0,21.0,5.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,18.0,12.0,4.0,22.0,6.0,6.0
6 Feb 2025,29.6,15.8,13.4,4.0,21.1,5.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,15.0,14.0,4.0,21.0,4.0,5.0,,,,,,,,29.0,16.0,13.0,4.0,21.0,5.0,4.0,,,,,,,,,,,,,,
7 Feb 2025,29.6,15.8,13.5,4.0,21.0,5.0,4.6,,,,,,,,30.0,15.0,15.0,4.0,20.0,4.0,6.0,,,,,,,,30.0,15.0,14.0,4.0,21.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Feb 2025,29.6,15.8,13.5,4.0,21.0,5.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,16.0,12.0,4.0,21.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,
9 Feb 2025,29.6,15.8,13.5,4.0,21.0,5.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Feb 2025,29.6,15.8,13.5,4.0,21.0,4.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,15.5,13.0,4.0,22.0,5.5,6.0,,,,,,,,,,,,,,,,,,,,,
11 Feb 2025,29.5,15.8,13.5,4.0,21.1,4.9,5.0,,,,,,,,,,,,,,,29.0,16.0,14.0,4.0,20.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Feb 2025,29.5,15.8,13.4,4.0,21.0,4.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,16.0,12.0,4.0,21.0,5.0,6.0
13 Feb 2025,29.9,15.7,13.3,4.1,20.9,4.8,5.3,32.0,15.0,13.0,5.0,20.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,32.0,14.0,14.0,4.0,21.0,4.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Feb 2025,29.9,15.8,13.3,4.1,20.9,4.8,5.5,,,,,,,,30.0,16.0,14.0,4.0,20.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Feb 2025,29.9,15.6,13.4,4.1,20.9,4.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,15.0,13.0,4.0,21.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,
16 Feb 2025,29.9,15.7,13.4,4.2,20.8,4.7,5.7,,,,,,,,,,,,,,,30.0,16.0,13.0,5.0,20.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Feb 2025,29.7,15.7,13.3,4.1,20.8,4.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,15.0,13.0,4.5,22.0,5.0,6.5,,,,,,,,,,,,,,,27.0,17.0,12.0,4.0,20.0,5.0,9.0
18 Feb 2025,29.8,15.7,13.2,4.2,20.8,4.6,6.1,,,,,,,,,,,,,,,30.0,16.0,13.0,5.0,20.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Feb 2025,29.9,15.5,13.2,4.2,20.6,4.5,6.1,,,,,,,,,,,,,,,,,,,,,,31.0,15.0,13.0,4.0,20.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Feb 2025,29.9,15.5,13.2,4.3,20.6,4.6,6.5,,,,,,,,28.0,16.0,14.0,4.5,21.0,4.5,8.0,,,,,,,,,,,,,,,,,,,,,,30.0,15.0,13.0,4.0,21.0,5.0,7.0,31.0,15.0,13.0,4.5,20.0,4.5,7.0,,,,,,,,,,,,,,
21 Feb 2025,29.9,15.5,13.0,4.3,20.6,4.6,6.8,32.0,14.5,12.0,4.5,20.0,4.5,7.5,,,,,,,,29.0,15.0,13.0,5.0,21.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,30.0,16.0,12.0,4.5,21.0,4.5,7.0,,,,,,,,29.0,16.0,13.0,4.0,20.0,5.0,8.0
22 Feb 2025,29.9,15.5,13.0,4.3,20.6,4.5,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Feb 2025,29.9,15.5,13.0,4.3,20.6,4.5,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,